"Fiume","Idrometro","Regione","ASotto","Adesso","ASopra","Data","Ora","Differenza","NA","NA","NA","NA","NA","NA"
"Livenza","Portobuffolè","Veneto",0,"-1,6","1,09","0,20","2017-09-12","19:30:00","1.09","2017-09-12","19:30:00","1.09","2017-09-12","19:30:00"
"Meduna","Colle","Friuli",0,"-2","-1,56","-1","2017-09-12","19:30:00","-1,56","2017-09-12","19:30:00","-1,56","2017-09-12","19:30:00"
"Meduna","Meduno","Friuli",0,"2","2,81","2,5","2017-09-12","19:30:00","2,81","2017-09-12","19:30:00","2,81","2017-09-12","19:30:00"
"Meduna","Pordenone","Friuli",0,"16","16,81","17","2017-09-12","19:30:00","16,81","2017-09-12","19:30:00","16,81","2017-09-12","19:30:00"
"Meduna","Tremeacque Meduna","Friuli",0,"1,5","4,54","4","2017-09-12","19:30:00","4,54","2017-09-12","19:30:00","4,54","2017-09-12","19:30:00"
"Meschio","Ponte della Muda","Friuli",0,"0,2","0,38","0,5","2017-09-12","19:30:00","0,38","2017-09-12","19:30:00","0,38","2017-09-12","19:30:00"
"Meschio","Borgo Campion","Veneto",0,"0,6","0,75","0,85","2017-09-12","19:30:00","0.75","2017-09-12","19:30:00","0.75","2017-09-12","19:30:00"
"Meschio","Cordignano","Veneto",0,"-0,2","-0,03","0,25","2017-09-12","19:30:00","-0.03","2017-09-12","19:30:00","-0.03","2017-09-12","19:30:00"
"Monticano","Fontanelle","Veneto",0,"0,05","0,31","0,25","2017-09-12","19:30:00","0.31","2017-09-12","19:30:00","0.31","2017-09-12","19:30:00"
"Monticano","Gorgo al Monticano","Veneto",0,"-1,2","-0,35","-1,05","2017-09-12","19:30:00","-0.35","2017-09-12","19:30:00","-0.35","2017-09-12","19:30:00"
"Monticano","Oderzo","Veneto",0,"0,3","0,71","0,48","2017-09-12","19:30:00","0.71","2017-09-12","19:30:00","0.71","2017-09-12","19:30:00"
"Monticano","Vazzola","Veneto",0,"-1","-0,56","-0,5","2017-09-12","19:30:00","-0.56","2017-09-12","19:30:00","-0.56","2017-09-12","19:30:00"
"Muson","Castefranco Veneto","Veneto",0,"0,1","0,36","0,3","2017-09-12","19:30:00","0.36","2017-09-12","19:30:00","0.36","2017-09-12","19:30:00"
